Ranking,Name
1,Nadal R.
2,Zverev A.
3,Cilic M.
4,Dimitrov G.
5,Martin del Potro J.
6,Anderson K.
7,Thiem D.
8,Goffin D.
9,Isner J.
10,Carreno Busta P.
11,Schwartzman D.
12,Querrey S.
13,Bautista Agut R.
14,Sock J.
15,Pouille L.
16,Edmund K.
17,Berdych T.
18,Fognini F.
19,Nishikori K.
20,Djokovic N.
21,Kyrgios N.
22,Kohlschreiber P.
23,Wawrinka S.
24,Shapovalov D.
25,Mannarino A.
26,Dzumhur D.
27,Gasquet R.
28,Lopez F.
29,Muller G.
30,Verdasco F.
31,Ramos A.
32,Monfils G.